reviewer,report_id,report_url,observation
Reviewer 06,5dc9e4b5b75c,5dc9e4b5b75c/,CoRoT-2 b
Reviewer 07,5dc9e4b5b75c,5dc9e4b5b75c/,CoRoT-2 b
Reviewer 03,759716a9ecc7,759716a9ecc7/,WASP-69 b
Reviewer 09,759716a9ecc7,759716a9ecc7/,WASP-69 b
Reviewer 14,8e6b05a95c07,8e6b05a95c07/,HAT-P-20 b
Reviewer 11,8e6b05a95c07,8e6b05a95c07/,HAT-P-20 b
Reviewer 12,c397d4314f64,c397d4314f64/,WASP-183 b
Reviewer 13,c397d4314f64,c397d4314f64/,WASP-183 b
Reviewer 04,1200c84b41b9,1200c84b41b9/,Qatar-1 b
Reviewer 10,1200c84b41b9,1200c84b41b9/,Qatar-1 b
Reviewer 02,54f0e5fa081e,54f0e5fa081e/,WASP-65 b
Reviewer 01,54f0e5fa081e,54f0e5fa081e/,WASP-65 b
Reviewer 05,bd04d6fc3578,bd04d6fc3578/,WASP-44 b
Reviewer 08,bd04d6fc3578,bd04d6fc3578/,WASP-44 b
Reviewer 08,abbc8981deae,abbc8981deae/,TrES-1 b
Reviewer 04,abbc8981deae,abbc8981deae/,TrES-1 b
Reviewer 06,3bb9f0fb9708,3bb9f0fb9708/,KELT-16 b
Reviewer 09,3bb9f0fb9708,3bb9f0fb9708/,KELT-16 b
Reviewer 10,5c0dda3fc486,5c0dda3fc486/,HD 189733 b
Reviewer 03,5c0dda3fc486,5c0dda3fc486/,HD 189733 b
Reviewer 02,fcdfe2bbcbaa,fcdfe2bbcbaa/,KELT-9 b
Reviewer 05,fcdfe2bbcbaa,fcdfe2bbcbaa/,KELT-9 b
Reviewer 11,26576189db1a,26576189db1a/,WASP-43 b
Reviewer 12,26576189db1a,26576189db1a/,WASP-43 b
Reviewer 14,3ed86ac4e612,3ed86ac4e612/,Qatar-1 b
Reviewer 01,3ed86ac4e612,3ed86ac4e612/,Qatar-1 b
Reviewer 13,e24df877c9e0,e24df877c9e0/,HAT-P-36 b
Reviewer 07,e24df877c9e0,e24df877c9e0/,HAT-P-36 b
Reviewer 10,9d3e234faaab,9d3e234faaab/,WASP-183 b
Reviewer 13,9d3e234faaab,9d3e234faaab/,WASP-183 b
Reviewer 08,8531855e1e8e,8531855e1e8e/,TrES-1 b
Reviewer 14,8531855e1e8e,8531855e1e8e/,TrES-1 b
Reviewer 02,4186e27baa0e,4186e27baa0e/,KELT-16 b
Reviewer 05,4186e27baa0e,4186e27baa0e/,KELT-16 b
Reviewer 01,128825bfd4f0,128825bfd4f0/,HAT-P-30 b
Reviewer 04,128825bfd4f0,128825bfd4f0/,HAT-P-30 b
Reviewer 11,d265bed6d06f,d265bed6d06f/,TrES-2 b
Reviewer 06,d265bed6d06f,d265bed6d06f/,TrES-2 b
Reviewer 07,b53b22d18614,b53b22d18614/,TrES-1 b
Reviewer 09,b53b22d18614,b53b22d18614/,TrES-1 b
Reviewer 12,b799a755bc34,b799a755bc34/,HAT-P-30 b
Reviewer 03,b799a755bc34,b799a755bc34/,HAT-P-30 b
Reviewer 10,cf2019f16584,cf2019f16584/,Qatar-10 b
Reviewer 05,cf2019f16584,cf2019f16584/,Qatar-10 b
Reviewer 12,9d1f58f8d71d,9d1f58f8d71d/,WASP-65 b
Reviewer 14,9d1f58f8d71d,9d1f58f8d71d/,WASP-65 b
Reviewer 07,3c1dc0afabfc,3c1dc0afabfc/,KELT-7 b
Reviewer 11,3c1dc0afabfc,3c1dc0afabfc/,KELT-7 b
Reviewer 03,1c8675a02457,1c8675a02457/,WASP-65 b
Reviewer 09,1c8675a02457,1c8675a02457/,WASP-65 b
Reviewer 04,3824c8f12d08,3824c8f12d08/,HAT-P-19 b
Reviewer 08,3824c8f12d08,3824c8f12d08/,HAT-P-19 b
Reviewer 01,671205282d63,671205282d63/,TrES-1 b
Reviewer 13,671205282d63,671205282d63/,TrES-1 b
Reviewer 06,f1cc7d6d37ab,f1cc7d6d37ab/,KELT-7 b
Reviewer 02,f1cc7d6d37ab,f1cc7d6d37ab/,KELT-7 b
Reviewer 10,6c0b2bc9620f,6c0b2bc9620f/,Qatar-10 b
Reviewer 08,6c0b2bc9620f,6c0b2bc9620f/,Qatar-10 b
Reviewer 11,6e56e9c8ac9a,6e56e9c8ac9a/,WASP-43 b
Reviewer 02,6e56e9c8ac9a,6e56e9c8ac9a/,WASP-43 b
Reviewer 06,c21c2b7b69ed,c21c2b7b69ed/,TrES-2 b
Reviewer 03,c21c2b7b69ed,c21c2b7b69ed/,TrES-2 b
Reviewer 01,b62c467e0c43,b62c467e0c43/,KELT-20 b
Reviewer 07,b62c467e0c43,b62c467e0c43/,KELT-20 b
Reviewer 04,4a43465630dd,4a43465630dd/,HAT-P-36 b
Reviewer 05,4a43465630dd,4a43465630dd/,HAT-P-36 b
Reviewer 12,0032e18d510c,0032e18d510c/,WASP-69 b
Reviewer 14,0032e18d510c,0032e18d510c/,WASP-69 b
Reviewer 09,722745690043,722745690043/,Qatar-10 b
Reviewer 13,722745690043,722745690043/,Qatar-10 b
Reviewer 10,b882786d4a83,b882786d4a83/,WASP-69 b
Reviewer 14,b882786d4a83,b882786d4a83/,WASP-69 b
Reviewer 02,3e7e0245f3a0,3e7e0245f3a0/,WASP-183 b
Reviewer 06,3e7e0245f3a0,3e7e0245f3a0/,WASP-183 b
Reviewer 11,e3972bfb0c0f,e3972bfb0c0f/,CoRoT-2 b
Reviewer 07,e3972bfb0c0f,e3972bfb0c0f/,CoRoT-2 b
Reviewer 13,bab7d04cffc1,bab7d04cffc1/,Qatar-10 b
Reviewer 05,bab7d04cffc1,bab7d04cffc1/,Qatar-10 b
Reviewer 12,35f9728cc53f,35f9728cc53f/,KELT-7 b
Reviewer 04,35f9728cc53f,35f9728cc53f/,KELT-7 b
