observation_path,observation,model,source_class,agent_framework,has_aavso_summary,aavso_summary_path,target_star_error_px,target_x_observed,target_y_observed,target_x_truth,target_y_truth,ephemerides_exact_match_fraction,ephemerides_extraction_difference_percent,nasa_ephemerides_difference_percent,exotic_generation_difference_percent,time_taken_minutes,report_word_count
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-10 b (ReAct),Qatar-10 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-10 b (ReAct)/output/EXOTIC_output/AAVSO_Qatar-10 b_07-14-2024.txt,0.498,932.000,1174.000,931.518,1173.875,0.500,2475.455,14.901,18.379,88.514,298
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-1 b (ReAct),TrES-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-1 b (ReAct)/output/AAVSO_TrES-1 b_2026-08-02.txt,136.605,227.000,201.000,118.574,117.906,0.750,2475.000,36.840,49.823,12.761,306
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-2 b (ReAct),TrES-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,no,,923.896,524.000,525.000,1151.597,1203.016,,,,,49.627,203
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-183 b (ReAct),WASP-183 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,no,,957.411,511.000,512.000,1182.339,1194.598,,,,,2.147,0
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-43 b (ReAct),WASP-43 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-43 b (ReAct)/output/AAVSO_WASP-43 b_03-11-2026.txt,1.381,1196.000,1201.000,1194.836,1201.742,0.750,2475.041,19.809,11.794,24.469,300
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-44 b (ReAct),WASP-44 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,no,,305.533,260.000,265.000,23.349,71.746,,,,,43.012,357
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-65 b (ReAct),WASP-65 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-65 b (ReAct)/output/AAVSO_WASP-65 b_03-12-2026.txt,0.560,1177.000,1148.000,1177.536,1147.838,1.000,0.023,21.572,17.639,54.659,323
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-69 b (ReAct),WASP-69 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-69 b (ReAct)/output/AAVSO_WASP-69 b_09-25-2025.txt,2.250,1203.000,1219.000,1203.675,1221.146,0.750,0.000,49.887,46.632,29.835,272
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/CoRoT-2 b (ReAct+Skills),CoRoT-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/CoRoT-2 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_CoRoT-2 b_2026-08-01.txt,525.501,485.000,312.000,4.607,98.987,1.000,0.000,22.011,13.287,11.844,334
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-13 b (ReAct+Skills),HAT-P-13 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,no,,1.166,1107.000,1173.000,1106.857,1174.157,,,,,117.869,175
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-19 b (ReAct+Skills),HAT-P-19 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-19 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-19 b_2026-07-11.txt,439.390,517.000,117.000,77.659,123.518,1.000,0.000,31.104,16.493,18.781,342
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-20 b (ReAct+Skills),HAT-P-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-20 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-20 b_02-04-2025.txt,0.930,1245.000,1170.000,1245.154,1170.917,1.000,0.167,32.984,8.740,44.545,285
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-30 b (ReAct+Skills),HAT-P-30 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,no,,0.501,1521.000,1025.000,1520.871,1025.484,,,,,57.181,257
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-36 b (ReAct+Skills),HAT-P-36 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-36 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-36 b_03-19-2026.txt,978.206,534.000,442.000,1174.920,1180.991,1.000,0.253,9.504,18.466,15.416,394
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HD 189733 b (ReAct+Skills),HD 189733 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HD 189733 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HD 189733 b_08-05-2026.txt,978.865,512.000,512.000,1211.379,1196.869,0.667,1.754,45.312,33.715,19.577,361
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-16 b (ReAct+Skills),KELT-16 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-16 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-16 b_2026-07-08.txt,0.757,1198.000,1206.000,1197.448,1205.481,1.000,0.364,22.549,17.944,16.145,323
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-20 b (ReAct+Skills),KELT-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-20 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-20 b_08-18-2023.txt,61.558,1152.000,1162.000,1136.163,1221.486,,,43.368,35.826,15.634,0
