observation_path,observation,model,source_class,agent_framework,aavso_summary_path,aavso_summary_count,all_aavso_summary_paths,has_aavso_summary,aavso_exoplanet_name,aavso_star_name
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-9 b,KELT-9 b,gpt-5.6-luna,OpenAI-compatible,ReAct,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b,Qatar-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,yes,Qatar-1 b,Qatar-1
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b,Qatar-10 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b/output/AAVSO_Qatar-10 b_07-15-2024.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b/output/AAVSO_Qatar-10 b_07-15-2024.txt,yes,Qatar-10 b,Qatar-10
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b,TrES-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,yes,TrES-1 b,TrES-1
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-2 b,TrES-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-2 b/output/AAVSO_TrES-2 b_08-17-2023.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-2 b/output/AAVSO_TrES-2 b_08-17-2023.txt,yes,TrES-2 b,TrES-2
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-183 b,WASP-183 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-183 b/output/AAVSO_WASP-183 b_03-29-2025.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-183 b/output/AAVSO_WASP-183 b_03-29-2025.txt,yes,WASP-183 b,WASP-183
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-43 b,WASP-43 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-43 b/output/AAVSO_WASP-43 b_03-12-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-43 b/output/AAVSO_WASP-43 b_03-12-2026.txt,yes,WASP-43 b,WASP-43
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-44 b,WASP-44 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-44 b/output/AAVSO_WASP-44 b_2026-07-15.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-44 b/output/AAVSO_WASP-44 b_2026-07-15.txt,yes,WASP-44 b,WASP-44
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-65 b,WASP-65 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-65 b/output/AAVSO_WASP-65 b_03-12-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-65 b/output/AAVSO_WASP-65 b_03-12-2026.txt,yes,WASP-65 b,WASP-65
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-69 b,WASP-69 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-69 b/output/AAVSO_WASP-69 b_09-25-2025.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-69 b/output/AAVSO_WASP-69 b_09-25-2025.txt,yes,WASP-69 b,WASP-69
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/CoRoT-2 b,CoRoT-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,yes,CoRoT-2 b,CoRoT-2
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-13 b,HAT-P-13 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-19 b,HAT-P-19 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,yes,HAT-P-19 b,HAT-P-19
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-20 b,HAT-P-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-30 b,HAT-P-30 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-36 b,HAT-P-36 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HD 189733 b,HD 189733 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,yes,HD 189733 b,HD 189733
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-16 b,KELT-16 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-16 b/output/AAVSO_KELT-16 b_07-07-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-16 b/output/AAVSO_KELT-16 b_07-07-2026.txt,yes,KELT-16 b,KELT-16
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-20 b,KELT-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-7 b,KELT-7 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-7 b/output/AAVSO_KELT-7 b_01-06-2017.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-7 b/output/AAVSO_KELT-7 b_01-06-2017.txt,yes,KELT-7 b,KELT-7
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-9 b,KELT-9 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-1 b,Qatar-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,yes,Qatar-1 b,Qatar-1
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-10 b,Qatar-10 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-1 b,TrES-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,yes,TrES-1 b,TrES-1
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-2 b,TrES-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-183 b,WASP-183 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-43 b,WASP-43 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-43 b/output/AAVSO_WASP-43 b_03-11-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-43 b/output/AAVSO_WASP-43 b_03-11-2026.txt,yes,WASP-43 b,WASP-43
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-44 b,WASP-44 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-44 b/output/AAVSO_WASP-44 b_2026-07-15.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-44 b/output/AAVSO_WASP-44 b_2026-07-15.txt,yes,WASP-44 b,WASP-44
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-65 b,WASP-65 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-65 b/output/AAVSO_WASP-65 b_03-12-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-65 b/output/AAVSO_WASP-65 b_03-12-2026.txt,yes,WASP-65 b,WASP-65
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-69 b,WASP-69 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-69 b/output/AAVSO_WASP-69 b_09-24-2025.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-69 b/output/AAVSO_WASP-69 b_09-24-2025.txt,yes,WASP-69 b,WASP-69
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/CoRoT-2 b (ReAct),CoRoT-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/CoRoT-2 b (ReAct)/output/EXOTIC_output/AAVSO_CoRoT-2 b_2026-08-01.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/CoRoT-2 b (ReAct)/output/EXOTIC_output/AAVSO_CoRoT-2 b_2026-08-01.txt,yes,CoRoT-2 b,CoRoT-2
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-13 b (ReAct),HAT-P-13 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-19 b (ReAct),HAT-P-19 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-19 b (ReAct)/output/AAVSO_HAT-P-19 b_2026-07-11.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-19 b (ReAct)/output/AAVSO_HAT-P-19 b_2026-07-11.txt,yes,HAT-P-19 b,HAT-P-19
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-20 b (ReAct),HAT-P-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-20 b (ReAct)/output/AAVSO_HAT-P-20 b_02-03-2025.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-20 b (ReAct)/output/AAVSO_HAT-P-20 b_02-03-2025.txt,yes,HAT-P-20 b,HAT-P-20
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-30 b (ReAct),HAT-P-30 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-30 b (ReAct)/output/AAVSO_HAT-P-30 b_n.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-30 b (ReAct)/output/AAVSO_HAT-P-30 b_n.txt,yes,HAT-P-30 b,HAT-P-30
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-36 b (ReAct),HAT-P-36 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-36 b (ReAct)/output/AAVSO_HAT-P-36 b_03-18-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-36 b (ReAct)/output/AAVSO_HAT-P-36 b_03-18-2026.txt,yes,HAT-P-36 b,HAT-P-36
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HD 189733 b (ReAct),HD 189733 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HD 189733 b (ReAct)/output/AAVSO_HD 189733 b_08-04-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HD 189733 b (ReAct)/output/AAVSO_HD 189733 b_08-04-2026.txt,yes,HD 189733 b,HD 189733
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-16 b (ReAct),KELT-16 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-16 b (ReAct)/output/EXOTIC_output/AAVSO_KELT-16 b_07-07-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-16 b (ReAct)/output/EXOTIC_output/AAVSO_KELT-16 b_07-07-2026.txt,yes,KELT-16 b,KELT-16
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-20 b (ReAct),KELT-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-7 b (ReAct),KELT-7 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-7 b (ReAct)/output/AAVSO_KELT-7 b_01-06-2017.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-7 b (ReAct)/output/AAVSO_KELT-7 b_01-06-2017.txt,yes,KELT-7 b,KELT-7
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-9 b (ReAct),KELT-9 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-9 b (ReAct)/output/AAVSO_KELT-9 b_09-24-2023.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-9 b (ReAct)/output/AAVSO_KELT-9 b_09-24-2023.txt,yes,KELT-9 b,KELT-9
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-1 b (ReAct),Qatar-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-10 b (ReAct),Qatar-10 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-10 b (ReAct)/output/EXOTIC_output/AAVSO_Qatar-10 b_07-14-2024.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-10 b (ReAct)/output/EXOTIC_output/AAVSO_Qatar-10 b_07-14-2024.txt,yes,Qatar-10 b,Qatar-10
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-1 b (ReAct),TrES-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-1 b (ReAct)/output/AAVSO_TrES-1 b_2026-08-02.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-1 b (ReAct)/output/AAVSO_TrES-1 b_2026-08-02.txt,yes,TrES-1 b,TrES-1
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/TrES-2 b (ReAct),TrES-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-183 b (ReAct),WASP-183 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-43 b (ReAct),WASP-43 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-43 b (ReAct)/output/AAVSO_WASP-43 b_03-11-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-43 b (ReAct)/output/AAVSO_WASP-43 b_03-11-2026.txt,yes,WASP-43 b,WASP-43
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-44 b (ReAct),WASP-44 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-65 b (ReAct),WASP-65 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-65 b (ReAct)/output/AAVSO_WASP-65 b_03-12-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-65 b (ReAct)/output/AAVSO_WASP-65 b_03-12-2026.txt,yes,WASP-65 b,WASP-65
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-69 b (ReAct),WASP-69 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-69 b (ReAct)/output/AAVSO_WASP-69 b_09-25-2025.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/WASP-69 b (ReAct)/output/AAVSO_WASP-69 b_09-25-2025.txt,yes,WASP-69 b,WASP-69
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/CoRoT-2 b (ReAct+Skills),CoRoT-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/CoRoT-2 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_CoRoT-2 b_2026-08-01.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/CoRoT-2 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_CoRoT-2 b_2026-08-01.txt,yes,CoRoT-2 b,CoRoT-2
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-13 b (ReAct+Skills),HAT-P-13 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-19 b (ReAct+Skills),HAT-P-19 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-19 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-19 b_2026-07-11.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-19 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-19 b_2026-07-11.txt,yes,HAT-P-19 b,HAT-P-19
