observation,nasa_planet_name,hostname,orbital_period_days,orbital_period_uncertainty_days,mid_transit_time_bjd,mid_transit_time_uncertainty_days,transit_duration_hours,transit_duration_days,transit_duration_uncertainty_days,transit_depth_percent,transit_depth_fraction,radius_ratio,a_over_rstar,source_url,found
KELT-9 b,KELT-9 b,KELT-9,1.4811235,1.1e-06,2457095.68572,0.00014,4.1588291,0.17328454583333333,0.00024252083333333333,0.67885145,0.0067885145000000004,0.08228,3.153,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
Qatar-1 b,Qatar-1 b,Qatar-1,1.4200242,2.2e-07,2456234.103218,6.071e-05,1.66104,0.06921000000000001,0.00033,2.14,0.021400000000000002,0.14629,6.247,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
Qatar-10 b,Qatar-10 b,Qatar-10,1.645321,1e-05,2458247.90746,0.00036,2.772,0.11549999999999999,0.0009000000000000001,1.931,0.01931,0.1265,4.9,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
TrES-1 b,TrES-1 b,TrES-1,3.03007,8e-06,2453186.806341,5.1e-05,2.508,0.1045,0.00036,1.8,0.018000000000000002,0.1358,10.48,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
TrES-2 b,TrES-2 b,TrES-2,2.47063,1e-05,2454955.76336,3e-06,1.74259,0.07260791666666667,3.708333333333333e-05,1.6,0.016,0.125358,7.64,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
WASP-183 b,WASP-183 b,WASP-183,4.1117771,5.1e-06,2457796.1845,0.0024,2.016,0.084,0.005,2.26,0.0226,0.195,11.44,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
WASP-43 b,WASP-43 b,WASP-43,0.813475,1e-06,2455528.86774,0.00014,1.1592,0.0483,0.0011,2.55,0.0255,0.1594,4.86,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
WASP-44 b,WASP-44 b,WASP-44,2.423804,8e-06,2458338.102384,0.000374,2.2368,0.0932,0.002,1.56,0.015600000000000001,0.1248,8.2,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
WASP-65 b,WASP-65 b,WASP-65,2.3114243,1.5e-06,2456110.68772,0.00015,2.73504,0.11396,0.00045000000000000004,1.28,0.0128,0.1131,7.11,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
WASP-69 b,WASP-69 b,WASP-69,3.86813881,1.3e-07,2455748.83428,0.00013,2.1869,0.09112083333333333,0.00022083333333333333,1.72599935,0.0172599935,0.1336,12.17,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
